GCF_049958765.1	USDAARL-010	Australis
GCF_049958755.1	USDAATL-010	Autumnalis
GCF_014858865.1	1489	Bataviae
GCF_010287845.2	D64	Bataviae
GCF_001010765.1	PigK151	Bratislava
GCF_049955055.1	USDAARL-050	Bratislava
GCF_014858915.1	782	Canicola
GCF_008831445.1	LJ178	Canicola
GCF_002073495.2	FDAARGOS_203	Copenhageni
GCF_049956375.1	USDAICL-020	Copenhageni
GCF_049956975.1	USDAGRL-020	Grippotyphosa
GCF_008118365.1	L53	Hardjo
GCF_001293065.1	Norma	Hardjo
GCF_049954495.1	USDAHBL-010	Hebdomadis
GCF_014858895.1	Langkawi	Icterohaemorrhagiae
GCF_052161685.1	L7	Icterohaemorrhagiae
GCF_000092565.1	56601	Lai
GCF_000231175.1	IPAV	Lai
GCF_000941035.1	56609	Linhai
GCF_001047635.1	UP-MMC-NIIDLP	Manilae
GCF_001047655.1	UP-MMC-NIIDHP	Manilae
GCF_049955705.1	USDAPOL-010	Pomona
GCF_049955695.1	USDAPYL-010	Pyrogenes
GCF_049953905.1	USDAMIL-020	Szwajizak
